Geo,Year,ElectricityCI
Malheur,2000,10.00424361
Marion,2000,181.9159563
Morrow,2000,17.08533292
Multnomah,2000,187.9890614
Polk,2000,132.0711355
Sherman,2000,213.8690568
Tillamook,2000,11.15082569
Umatilla,2000,139.8578137
Union,2000,10.00424361
Wallowa,2000,258.4597598
Wasco,2000,23.46083326
Washington,2000,175.7672524
Wheeler,2000,10.00424361
Yamhill,2000,126.980815
Baker,2005,10.00424361
Benton,2005,196.3049314
Clackamas,2005,176.6996378
Clatsop,2005,235.603717
Columbia,2005,10.81063101
Coos,2005,188.329256
Crook,2005,179.2825975
Curry,2005,10.00424361
Deschutes,2005,142.0249799
Douglas,2005,202.4788349
Gilliam,2005,115.5149943
Grant,2005,10.00424361
Harney,2005,10.00424361
Hood River,2005,160.181296
Jackson,2005,206.9265653
Jefferson,2005,218.1025906
Josephine,2005,236.2211074
Klamath,2005,253.0796439
Lake,2005,128.2281955
Lane,2005,20.82747442
Lincoln,2005,91.53756908
Linn,2005,219.8161638
Malheur,2005,10.00424361
Marion,2005,181.9159563
Morrow,2005,17.08533292
Multnomah,2005,187.9890614
Polk,2005,132.0711355
Sherman,2005,213.8690568
Tillamook,2005,11.15082569
Umatilla,2005,139.8578137
Union,2005,10.00424361
Wallowa,2005,258.4597598
Wasco,2005,23.46083326
Washington,2005,175.7672524
Wheeler,2005,10.00424361
Yamhill,2005,126.980815
Baker,2010,10.00424361
Benton,2010,191.6682038
Clackamas,2010,172.0377107
Clatsop,2010,229.9716051
Columbia,2010,10.7854314
Coos,2010,183.8815256
Crook,2010,175.0616634
Curry,2010,10.00424361
Deschutes,2010,138.7364313
Douglas,2010,197.6909097
Gilliam,2010,112.8816354
Grant,2010,10.00424361
Harney,2010,10.00424361
Hood River,2010,156.4391545
Jackson,2010,202.0126421
Jefferson,2010,212.9114718
Josephine,2010,230.5889954
Klamath,2010,247.0317384
Lake,2010,125.2798416
Lane,2010,20.56287856
Lincoln,2010,89.5090008
Linn,2010,214.5872456
Malheur,2010,10.00424361
Marion,2010,177.1658305
Morrow,2010,16.90893568
Multnomah,2010,183.1633368
Polk,2010,128.9715839
Sherman,2010,208.7913362
Tillamook,2010,11.12562608
Umatilla,2010,136.6196644
Union,2010,10.00424361
Wallowa,2010,252.2732565
Wasco,2010,23.12063858
Washington,2010,171.1431247
Wheeler,2010,10.00424361
Yamhill,2010,123.717466
Baker,2015,20.3337549
Benton,2015,161.4502641
Clackamas,2015,107.9900961
Clatsop,2015,193.5292177
Columbia,2015,6.746245526
Coos,2015,159.0037119
Crook,2015,148.5392631
Curry,2015,4.440292525
Deschutes,2015,122.6142019
Douglas,2015,161.0164541
Gilliam,2015,79.51543162
Grant,2015,4.166628867
Harney,2015,6.52476191
Hood River,2015,124.4488098
Jackson,2015,185.6099478
Jefferson,2015,150.5478755
Josephine,2015,205.2734875
Klamath,2015,195.9566602
Lake,2015,94.18192653
Lane,2015,11.34805145
Lincoln,2015,64.19458914
Linn,2015,168.7746864
Malheur,2015,103.1210994
Marion,2015,114.5846172
Morrow,2015,29.8795732
Multnomah,2015,131.6896022
Polk,2015,97.43693008
Sherman,2015,134.5574178
Tillamook,2015,4.088436443
Umatilla,2015,104.8708167
Union,2015,4.166628867
Wallowa,2015,202.4062054
Wasco,2015,13.73592957
Washington,2015,107.6155723
Wheeler,2015,4.166628867
Yamhill,2015,111.6230237
Baker,2020,20.38437874
Benton,2020,161.8522181
Clackamas,2020,108.2589531
Clatsop,2020,194.0110368
Columbia,2020,6.763041286
Coos,2020,159.3995747
Crook,2020,148.9090732
Curry,2020,4.451347279
Deschutes,2020,122.9194678
Douglas,2020,161.417328
Gilliam,2020,79.71339685
Grant,2020,4.177002296
Harney,2020,6.541006254
Hood River,2020,124.7586433
Jackson,2020,186.0720508
Jefferson,2020,150.9226863
Josephine,2020,205.7845457
Klamath,2020,196.4445229
Lake,2020,94.41640614
Lane,2020,11.37630407
Lincoln,2020,64.35441091
Linn,2020,169.1948755
Malheur,2020,103.3778343
Marion,2020,114.8698923
Morrow,2020,29.95396275
Multnomah,2020,132.0174626
Polk,2020,97.6795135
Sherman,2020,134.8924181
Tillamook,2020,4.0986152
Umatilla,2020,105.1319079
Union,2020,4.177002296
Wallowa,2020,202.9101251
Wasco,2020,13.77012716
Washington,2020,107.8834969
Wheeler,2020,4.177002296
Yamhill,2020,111.9009254
Baker,2025,16.11426656
Benton,2025,127.9474748
Clackamas,2025,85.58090736
Clatsop,2025,153.369676
Columbia,2025,5.346321879
Coos,2025,126.0086103
Crook,2025,117.7156552
Curry,2025,3.518880684
Deschutes,2025,97.17034277
Douglas,2025,127.6036853
Gilliam,2025,63.01506373
Grant,2025,3.302005388
Harney,2025,5.170798664
Hood River,2025,98.62424846
Jackson,2025,147.0937459
Jefferson,2025,119.3074574
Josephine,2025,162.6768746
Klamath,2025,155.2933963
Lake,2025,74.63809203
Lane,2025,8.99320007
Lincoln,2025,50.87347253
Linn,2025,133.7519951
Malheur,2025,81.72228354
Marion,2025,90.80698938
Morrow,2025,23.67921762
Multnomah,2025,104.362493
Polk,2025,77.21764485
Sherman,2025,106.6352038
Tillamook,2025,3.240038792
Umatilla,2025,83.10891441
Union,2025,3.302005388
Wallowa,2025,160.4045865
Wasco,2025,10.88556598
Washington,2025,85.28410157
Wheeler,2025,3.302005388
Yamhill,2025,88.45996065
Baker,2030,15.2642094
Benton,2030,121.1980105
Clackamas,2030,81.06635729
Clatsop,2030,145.2791439
Columbia,2030,5.064293579
Coos,2030,119.3614246
Crook,2030,111.5059381
Curry,2030,3.333253264
Deschutes,2030,92.04442869
Douglas,2030,120.8723565
Gilliam,2030,59.69090337
Grant,2030,3.127818538
Harney,2030,4.898029536
Hood River,2030,93.42163819
Jackson,2030,139.3342806
Jefferson,2030,113.0137698
Josephine,2030,154.0953706
Klamath,2030,147.1013844
Lake,2030,70.70079557
Lane,2030,8.518792246
Lincoln,2030,48.1898034
Linn,2030,126.6963317
Malheur,2030,77.41128296
Marion,2030,86.01675389
Morrow,2030,22.4300954
Multnomah,2030,98.85717979
Polk,2030,73.14427224
Sherman,2030,101.0100009
Tillamook,2030,3.069120794
Umatilla,2030,78.72476651
Union,2030,3.127818538
Wallowa,2030,151.9429499
Wasco,2030,10.31133238
Washington,2030,80.78520855
Wheeler,2030,3.127818538
Yamhill,2030,83.79353523
Baker,2035,15.14375974
Benton,2035,120.2416387
Clackamas,2035,80.42666381
Clatsop,2035,144.1327482
Columbia,2035,5.02433131
Coos,2035,118.4195453
Crook,2035,110.6260463
Curry,2035,3.30695061
Deschutes,2035,91.3181074
Douglas,2035,119.9185545
Gilliam,2035,59.21988329
Grant,2035,3.103136966
Harney,2035,4.859379254
Hood River,2035,92.68444936
Jackson,2035,138.2347957
Jefferson,2035,112.1219798
Josephine,2035,152.8794062
Klamath,2035,145.9406094
Lake,2035,70.14289659
Lane,2035,8.451570577
Lincoln,2035,47.80953834
Linn,2035,125.6965727
Malheur,2035,76.80043162
Marion,2035,85.33799689
Morrow,2035,22.25309983
Multnomah,2035,98.07709917
Polk,2035,72.56709182
Sherman,2035,100.2129324
Tillamook,2035,3.044902405
Umatilla,2035,78.10355049
Union,2035,3.103136966
Wallowa,2035,150.7439703
Wasco,2035,10.2299658
Washington,2035,80.14773361
Wheeler,2035,3.103136966
Yamhill,2035,83.13232162
Baker,2040,15.32141078
Benton,2040,121.6521902
Clackamas,2040,81.37014685
Clatsop,2040,145.8235657
Columbia,2040,5.083271606
Coos,2040,119.8087219
Crook,2040,111.9237975
Curry,2040,3.345744359
Deschutes,2040,92.38935768
Douglas,2040,121.3253158
Gilliam,2040,59.91459016
Grant,2040,3.139539783
Harney,2040,4.916384503
Hood River,2040,93.77172816
Jackson,2040,139.8564244
Jefferson,2040,113.4372797
Josephine,2040,154.6728305
Klamath,2040,147.6526348
Lake,2040,70.96574104
Lane,2040,8.550715726
Lincoln,2040,48.37039076
Linn,2040,127.1711158
Malheur,2040,77.70137544
Marion,2040,86.33909466
Morrow,2040,22.51415035
Multnomah,2040,99.22763901
Polk,2040,73.41837444
Sherman,2040,101.3885277
Tillamook,2040,3.080622074
Umatilla,2040,79.01978116
Union,2040,3.139539783
Wallowa,2040,152.5123438
Wasco,2040,10.34997325
Washington,2040,81.08794454
Wheeler,2040,3.139539783
Yamhill,2040,84.10754467
Baker,2045,15.04460044
Benton,2045,119.4543126
Clackamas,2045,79.90004084
Clatsop,2045,143.1889864
Columbia,2045,4.991432665
Coos,2045,117.6441501
Crook,2045,109.9016819
Curry,2045,3.285297143
Deschutes,2045,90.72016873
Douglas,2045,119.1333439
Gilliam,2045,58.83211947
Grant,2045,3.082818043
Harney,2045,4.827560693
Hood River,2045,92.07756406
Jackson,2045,137.3296529
Jefferson,2045,111.3878202
Josephine,2045,151.8783725
Klamath,2045,144.98501
Lake,2045,69.68361035
Lane,2045,8.396230831
Lincoln,2045,47.49648792
Linn,2045,124.8735285
Malheur,2045,76.29755274
Marion,2045,84.77921518
Morrow,2045,22.10738953
Multnomah,2045,97.43490354
Polk,2045,72.09193228
Sherman,2045,99.55675166
Tillamook,2045,3.024964794
Umatilla,2045,77.59213896
Union,2045,3.082818043
Wallowa,2045,149.7569191
Wasco,2045,10.16298136
Washington,2045,79.62293705
Wheeler,2045,3.082818043
Yamhill,2045,82.58798237
Baker,2050,14.68451053
Benton,2050,116.5951943
Clackamas,2050,77.98764715
Clatsop,2050,139.7617827
Columbia,2050,4.871963585
Coos,2050,114.8283577
Crook,2050,107.2712041
Curry,2050,3.206664122
Deschutes,2050,88.54879715
Douglas,2050,116.2819079
Gilliam,2050,57.42398284
Grant,2050,3.009031325
Harney,2050,4.712013861
Hood River,2050,89.87370346
Jackson,2050,134.0426914
Jefferson,2050,108.7217719
Josephine,2050,148.2431898
Klamath,2050,141.5148188
Lake,2050,68.01574516
Lane,2050,8.195268495
Lincoln,2050,46.35966768
Linn,2050,121.8847021
Malheur,2050,74.47138398
Marion,2050,82.7500393
Morrow,2050,21.57825297
Multnomah,2050,95.10281593
Polk,2050,70.36642432
Sherman,2050,97.17387799
Tillamook,2050,2.952562784
Umatilla,2050,75.7349845
Union,2050,3.009031325
Wallowa,2050,146.172513
Wasco,2050,9.919732154
Washington,2050,77.71717579
Wheeler,2050,3.009031325
Yamhill,2050,80.61125327
