Geo,Year,AveHhSize,Prop1PerHh
Josephine,2020,2.387375,0.2834959
Klamath,2020,2.433284,0.2731672
Lake,2020,2.337182,0.3134991
Lane,2020,2.409568,0.2889577
Lincoln,2020,2.240097,0.3124088
Linn,2020,2.580424,0.2438577
Malheur,2020,3.007684,0.2602056
Marion,2020,2.791977,0.2503964
Morrow,2020,2.853166,0.1912666
Multnomah,2020,2.41456,0.3264214
Polk,2020,2.665418,0.2296055
Sherman,2020,2.269923,0.3059126
Tillamook,2020,2.330626,0.2908436
Umatilla,2020,2.820733,0.2473238
Union,2020,2.451957,0.2763546
Wallowa,2020,2.236834,0.3003511
Wasco,2020,2.513659,0.2876371
Washington,2020,2.636209,0.2509727
Wheeler,2020,2.213518,0.3241167
Yamhill,2020,2.856575,0.2167502
Baker,2025,2.291761,0.312358
Benton,2025,2.493779,0.2823091
Clackamas,2025,2.578997,0.2406132
Clatsop,2025,2.353008,0.3152678
Columbia,2025,2.572501,0.233243
Coos,2025,2.323481,0.2977186
Crook,2025,2.451274,0.2412947
Curry,2025,2.146875,0.3235096
Deschutes,2025,2.461115,0.2410979
Douglas,2025,2.415087,0.2658307
Gilliam,2025,2.165509,0.3564815
Grant,2025,2.221062,0.303401
Harney,2025,2.315757,0.300156
Hood River,2025,2.734125,0.2379787
Jackson,2025,2.446025,0.2772762
Jefferson,2025,2.788042,0.221709
Josephine,2025,2.387375,0.2834959
Klamath,2025,2.433284,0.2731672
Lake,2025,2.337182,0.3134991
Lane,2025,2.409568,0.2889577
Lincoln,2025,2.240097,0.3124088
Linn,2025,2.580424,0.2438577
Malheur,2025,3.007684,0.2602056
Marion,2025,2.791977,0.2503964
Morrow,2025,2.853166,0.1912666
Multnomah,2025,2.41456,0.3264214
Polk,2025,2.665418,0.2296055
Sherman,2025,2.269923,0.3059126
Tillamook,2025,2.330626,0.2908436
Umatilla,2025,2.820733,0.2473238
Union,2025,2.451957,0.2763546
Wallowa,2025,2.236834,0.3003511
Wasco,2025,2.513659,0.2876371
Washington,2025,2.636209,0.2509727
Wheeler,2025,2.213518,0.3241167
Yamhill,2025,2.856575,0.2167502
Baker,2030,2.291761,0.312358
Benton,2030,2.493779,0.2823091
Clackamas,2030,2.578997,0.2406132
Clatsop,2030,2.353008,0.3152678
Columbia,2030,2.572501,0.233243
Coos,2030,2.323481,0.2977186
Crook,2030,2.451274,0.2412947
Curry,2030,2.146875,0.3235096
Deschutes,2030,2.461115,0.2410979
Douglas,2030,2.415087,0.2658307
Gilliam,2030,2.165509,0.3564815
Grant,2030,2.221062,0.303401
Harney,2030,2.315757,0.300156
Hood River,2030,2.734125,0.2379787
Jackson,2030,2.446025,0.2772762
Jefferson,2030,2.788042,0.221709
Josephine,2030,2.387375,0.2834959
Klamath,2030,2.433284,0.2731672
Lake,2030,2.337182,0.3134991
Lane,2030,2.409568,0.2889577
Lincoln,2030,2.240097,0.3124088
Linn,2030,2.580424,0.2438577
Malheur,2030,3.007684,0.2602056
Marion,2030,2.791977,0.2503964
Morrow,2030,2.853166,0.1912666
Multnomah,2030,2.41456,0.3264214
Polk,2030,2.665418,0.2296055
Sherman,2030,2.269923,0.3059126
Tillamook,2030,2.330626,0.2908436
Umatilla,2030,2.820733,0.2473238
Union,2030,2.451957,0.2763546
Wallowa,2030,2.236834,0.3003511
Wasco,2030,2.513659,0.2876371
Washington,2030,2.636209,0.2509727
Wheeler,2030,2.213518,0.3241167
Yamhill,2030,2.856575,0.2167502
Baker,2035,2.291761,0.312358
Benton,2035,2.493779,0.2823091
Clackamas,2035,2.578997,0.2406132
Clatsop,2035,2.353008,0.3152678
Columbia,2035,2.572501,0.233243
Coos,2035,2.323481,0.2977186
Crook,2035,2.451274,0.2412947
Curry,2035,2.146875,0.3235096
Deschutes,2035,2.461115,0.2410979
Douglas,2035,2.415087,0.2658307
Gilliam,2035,2.165509,0.3564815
Grant,2035,2.221062,0.303401
Harney,2035,2.315757,0.300156
Hood River,2035,2.734125,0.2379787
Jackson,2035,2.446025,0.2772762
Jefferson,2035,2.788042,0.221709
Josephine,2035,2.387375,0.2834959
Klamath,2035,2.433284,0.2731672
Lake,2035,2.337182,0.3134991
Lane,2035,2.409568,0.2889577
Lincoln,2035,2.240097,0.3124088
Linn,2035,2.580424,0.2438577
Malheur,2035,3.007684,0.2602056
Marion,2035,2.791977,0.2503964
Morrow,2035,2.853166,0.1912666
Multnomah,2035,2.41456,0.3264214
Polk,2035,2.665418,0.2296055
Sherman,2035,2.269923,0.3059126
Tillamook,2035,2.330626,0.2908436
Umatilla,2035,2.820733,0.2473238
Union,2035,2.451957,0.2763546
Wallowa,2035,2.236834,0.3003511
Wasco,2035,2.513659,0.2876371
Washington,2035,2.636209,0.2509727
Wheeler,2035,2.213518,0.3241167
Yamhill,2035,2.856575,0.2167502
Baker,2040,2.291761,0.312358
Benton,2040,2.493779,0.2823091
Clackamas,2040,2.578997,0.2406132
Clatsop,2040,2.353008,0.3152678
Columbia,2040,2.572501,0.233243
Coos,2040,2.323481,0.2977186
Crook,2040,2.451274,0.2412947
Curry,2040,2.146875,0.3235096
Deschutes,2040,2.461115,0.2410979
Douglas,2040,2.415087,0.2658307
Gilliam,2040,2.165509,0.3564815
Grant,2040,2.221062,0.303401
Harney,2040,2.315757,0.300156
Hood River,2040,2.734125,0.2379787
Jackson,2040,2.446025,0.2772762
Jefferson,2040,2.788042,0.221709
Josephine,2040,2.387375,0.2834959
Klamath,2040,2.433284,0.2731672
Lake,2040,2.337182,0.3134991
Lane,2040,2.409568,0.2889577
Lincoln,2040,2.240097,0.3124088
Linn,2040,2.580424,0.2438577
Malheur,2040,3.007684,0.2602056
Marion,2040,2.791977,0.2503964
Morrow,2040,2.853166,0.1912666
Multnomah,2040,2.41456,0.3264214
Polk,2040,2.665418,0.2296055
Sherman,2040,2.269923,0.3059126
Tillamook,2040,2.330626,0.2908436
Umatilla,2040,2.820733,0.2473238
Union,2040,2.451957,0.2763546
Wallowa,2040,2.236834,0.3003511
Wasco,2040,2.513659,0.2876371
Washington,2040,2.636209,0.2509727
Wheeler,2040,2.213518,0.3241167
Yamhill,2040,2.856575,0.2167502
Baker,2045,2.291761,0.312358
Benton,2045,2.493779,0.2823091
Clackamas,2045,2.578997,0.2406132
Clatsop,2045,2.353008,0.3152678
Columbia,2045,2.572501,0.233243
Coos,2045,2.323481,0.2977186
Crook,2045,2.451274,0.2412947
Curry,2045,2.146875,0.3235096
Deschutes,2045,2.461115,0.2410979
Douglas,2045,2.415087,0.2658307
Gilliam,2045,2.165509,0.3564815
Grant,2045,2.221062,0.303401
Harney,2045,2.315757,0.300156
Hood River,2045,2.734125,0.2379787
Jackson,2045,2.446025,0.2772762
Jefferson,2045,2.788042,0.221709
Josephine,2045,2.387375,0.2834959
Klamath,2045,2.433284,0.2731672
Lake,2045,2.337182,0.3134991
Lane,2045,2.409568,0.2889577
Lincoln,2045,2.240097,0.3124088
Linn,2045,2.580424,0.2438577
Malheur,2045,3.007684,0.2602056
Marion,2045,2.791977,0.2503964
Morrow,2045,2.853166,0.1912666
Multnomah,2045,2.41456,0.3264214
Polk,2045,2.665418,0.2296055
Sherman,2045,2.269923,0.3059126
Tillamook,2045,2.330626,0.2908436
Umatilla,2045,2.820733,0.2473238
Union,2045,2.451957,0.2763546
Wallowa,2045,2.236834,0.3003511
Wasco,2045,2.513659,0.2876371
Washington,2045,2.636209,0.2509727
Wheeler,2045,2.213518,0.3241167
Yamhill,2045,2.856575,0.2167502
Baker,2050,2.291761,0.312358
Benton,2050,2.493779,0.2823091
Clackamas,2050,2.578997,0.2406132
Clatsop,2050,2.353008,0.3152678
Columbia,2050,2.572501,0.233243
Coos,2050,2.323481,0.2977186
Crook,2050,2.451274,0.2412947
Curry,2050,2.146875,0.3235096
Deschutes,2050,2.461115,0.2410979
Douglas,2050,2.415087,0.2658307
Gilliam,2050,2.165509,0.3564815
Grant,2050,2.221062,0.303401
Harney,2050,2.315757,0.300156
Hood River,2050,2.734125,0.2379787
Jackson,2050,2.446025,0.2772762
Jefferson,2050,2.788042,0.221709
Josephine,2050,2.387375,0.2834959
Klamath,2050,2.433284,0.2731672
Lake,2050,2.337182,0.3134991
Lane,2050,2.409568,0.2889577
Lincoln,2050,2.240097,0.3124088
Linn,2050,2.580424,0.2438577
Malheur,2050,3.007684,0.2602056
Marion,2050,2.791977,0.2503964
Morrow,2050,2.853166,0.1912666
Multnomah,2050,2.41456,0.3264214
Polk,2050,2.665418,0.2296055
Sherman,2050,2.269923,0.3059126
Tillamook,2050,2.330626,0.2908436
Umatilla,2050,2.820733,0.2473238
Union,2050,2.451957,0.2763546
Wallowa,2050,2.236834,0.3003511
Wasco,2050,2.513659,0.2876371
Washington,2050,2.636209,0.2509727
Wheeler,2050,2.213518,0.3241167
Yamhill,2050,2.856575,0.2167502
