Geo,Year,AutoMeanAge,LtTrkMeanAge
Multnomah,2010,9.58,10.45
Polk,2010,10.86,11.98
Sherman,2010,11.73,12.6
Tillamook,2010,11.42,12.94
Umatilla,2010,11.31,12.32
Union,2010,11.66,12.37
Wallowa,2010,11.71,12.98
Wasco,2010,11.9,13.18
Washington,2010,8.92,9.36
Wheeler,2010,11.98,13.56
Yamhill,2010,11.46,12.49
Baker,2015,12.91,13.99
Benton,2015,11.41,12.9
Clackamas,2015,10.57,11.66
Clatsop,2015,11.72,13.09
Columbia,2015,12.37,13.99
Coos,2015,13.11,13.99
Crook,2015,13.17,13.99
Curry,2015,12.24,13.99
Deschutes,2015,11.65,12.6
Douglas,2015,12.78,13.99
Gilliam,2015,12.28,13.59
Grant,2015,13.58,13.99
Harney,2015,13.37,13.99
Hood River,2015,12.44,13.99
Jackson,2015,11.77,13.6
Jefferson,2015,12.92,13.99
Josephine,2015,12.71,13.99
Klamath,2015,12.77,13.99
Lake,2015,13.89,13.99
Lane,2015,12,13.54
Lincoln,2015,12.02,13.46
Linn,2015,12.6,13.99
Malheur,2015,12.61,13.99
Marion,2015,11.97,13.19
Morrow,2015,11.88,13.36
Multnomah,2015,10.21,11.44
Polk,2015,11.57,13.12
Sherman,2015,12.49,13.8
Tillamook,2015,12.16,13.99
Umatilla,2015,12.05,13.5
Union,2015,12.42,13.55
Wallowa,2015,12.47,13.99
Wasco,2015,12.67,13.99
Washington,2015,9.5,10.25
Wheeler,2015,12.76,13.99
Yamhill,2015,12.21,13.68
Baker,2020,13.02,13.99
Benton,2020,11.51,13.02
Clackamas,2020,10.66,11.76
Clatsop,2020,11.82,13.21
Columbia,2020,12.47,13.99
Coos,2020,13.22,13.99
Crook,2020,13.28,13.99
Curry,2020,12.34,13.99
Deschutes,2020,11.75,12.71
Douglas,2020,12.89,13.99
Gilliam,2020,12.39,13.71
Grant,2020,13.7,13.99
Harney,2020,13.48,13.99
Hood River,2020,12.55,13.99
Jackson,2020,11.87,13.72
Jefferson,2020,13.03,13.99
Josephine,2020,12.82,13.99
Klamath,2020,12.88,13.99
Lake,2020,13.99,13.99
Lane,2020,12.1,13.66
Lincoln,2020,12.13,13.58
Linn,2020,12.71,13.99
Malheur,2020,12.72,13.99
Marion,2020,12.07,13.31
Morrow,2020,11.98,13.48
Multnomah,2020,10.29,11.54
Polk,2020,11.67,13.23
Sherman,2020,12.6,13.92
Tillamook,2020,12.26,13.99
Umatilla,2020,12.15,13.61
Union,2020,12.53,13.67
Wallowa,2020,12.57,13.99
Wasco,2020,12.78,13.99
Washington,2020,9.58,10.34
Wheeler,2020,12.87,13.99
Yamhill,2020,12.31,13.8
Baker,2025,13.02,13.99
Benton,2025,11.51,13.02
Clackamas,2025,10.66,11.76
Clatsop,2025,11.82,13.21
Columbia,2025,12.47,13.99
Coos,2025,13.22,13.99
Crook,2025,13.28,13.99
Curry,2025,12.34,13.99
Deschutes,2025,11.75,12.71
Douglas,2025,12.89,13.99
Gilliam,2025,12.39,13.71
Grant,2025,13.7,13.99
Harney,2025,13.48,13.99
Hood River,2025,12.55,13.99
Jackson,2025,11.87,13.72
Jefferson,2025,13.03,13.99
Josephine,2025,12.82,13.99
Klamath,2025,12.88,13.99
Lake,2025,13.99,13.99
Lane,2025,12.1,13.66
Lincoln,2025,12.13,13.58
Linn,2025,12.71,13.99
Malheur,2025,12.72,13.99
Marion,2025,12.07,13.31
Morrow,2025,11.98,13.48
Multnomah,2025,10.29,11.54
Polk,2025,11.67,13.23
Sherman,2025,12.6,13.92
Tillamook,2025,12.26,13.99
Umatilla,2025,12.15,13.61
Union,2025,12.53,13.67
Wallowa,2025,12.57,13.99
Wasco,2025,12.78,13.99
Washington,2025,9.58,10.34
Wheeler,2025,12.87,13.99
Yamhill,2025,12.31,13.8
Baker,2030,13.02,13.99
Benton,2030,11.51,13.02
Clackamas,2030,10.66,11.76
Clatsop,2030,11.82,13.21
Columbia,2030,12.47,13.99
Coos,2030,13.22,13.99
Crook,2030,13.28,13.99
Curry,2030,12.34,13.99
Deschutes,2030,11.75,12.71
Douglas,2030,12.89,13.99
Gilliam,2030,12.39,13.71
Grant,2030,13.7,13.99
Harney,2030,13.48,13.99
Hood River,2030,12.55,13.99
Jackson,2030,11.87,13.72
Jefferson,2030,13.03,13.99
Josephine,2030,12.82,13.99
Klamath,2030,12.88,13.99
Lake,2030,13.99,13.99
Lane,2030,12.1,13.66
Lincoln,2030,12.13,13.58
Linn,2030,12.71,13.99
Malheur,2030,12.72,13.99
Marion,2030,12.07,13.31
Morrow,2030,11.98,13.48
Multnomah,2030,10.29,11.54
Polk,2030,11.67,13.23
Sherman,2030,12.6,13.92
Tillamook,2030,12.26,13.99
Umatilla,2030,12.15,13.61
Union,2030,12.53,13.67
Wallowa,2030,12.57,13.99
Wasco,2030,12.78,13.99
Washington,2030,9.58,10.34
Wheeler,2030,12.87,13.99
Yamhill,2030,12.31,13.8
Baker,2035,13.02,13.99
Benton,2035,11.51,13.02
Clackamas,2035,10.66,11.76
Clatsop,2035,11.82,13.21
Columbia,2035,12.47,13.99
Coos,2035,13.22,13.99
Crook,2035,13.28,13.99
Curry,2035,12.34,13.99
Deschutes,2035,11.75,12.71
Douglas,2035,12.89,13.99
Gilliam,2035,12.39,13.71
Grant,2035,13.7,13.99
Harney,2035,13.48,13.99
Hood River,2035,12.55,13.99
Jackson,2035,11.87,13.72
Jefferson,2035,13.03,13.99
Josephine,2035,12.82,13.99
Klamath,2035,12.88,13.99
Lake,2035,13.99,13.99
Lane,2035,12.1,13.66
Lincoln,2035,12.13,13.58
Linn,2035,12.71,13.99
Malheur,2035,12.72,13.99
Marion,2035,12.07,13.31
Morrow,2035,11.98,13.48
Multnomah,2035,10.29,11.54
Polk,2035,11.67,13.23
Sherman,2035,12.6,13.92
Tillamook,2035,12.26,13.99
Umatilla,2035,12.15,13.61
Union,2035,12.53,13.67
Wallowa,2035,12.57,13.99
Wasco,2035,12.78,13.99
Washington,2035,9.58,10.34
Wheeler,2035,12.87,13.99
Yamhill,2035,12.31,13.8
Baker,2040,13.02,13.99
Benton,2040,11.51,13.02
Clackamas,2040,10.66,11.76
Clatsop,2040,11.82,13.21
Columbia,2040,12.47,13.99
Coos,2040,13.22,13.99
Crook,2040,13.28,13.99
Curry,2040,12.34,13.99
Deschutes,2040,11.75,12.71
Douglas,2040,12.89,13.99
Gilliam,2040,12.39,13.71
Grant,2040,13.7,13.99
Harney,2040,13.48,13.99
Hood River,2040,12.55,13.99
Jackson,2040,11.87,13.72
Jefferson,2040,13.03,13.99
Josephine,2040,12.82,13.99
Klamath,2040,12.88,13.99
Lake,2040,13.99,13.99
Lane,2040,12.1,13.66
Lincoln,2040,12.13,13.58
Linn,2040,12.71,13.99
Malheur,2040,12.72,13.99
Marion,2040,12.07,13.31
Morrow,2040,11.98,13.48
Multnomah,2040,10.29,11.54
Polk,2040,11.67,13.23
Sherman,2040,12.6,13.92
Tillamook,2040,12.26,13.99
Umatilla,2040,12.15,13.61
Union,2040,12.53,13.67
Wallowa,2040,12.57,13.99
Wasco,2040,12.78,13.99
Washington,2040,9.58,10.34
Wheeler,2040,12.87,13.99
Yamhill,2040,12.31,13.8
Baker,2045,13.02,13.99
Benton,2045,11.51,13.02
Clackamas,2045,10.66,11.76
Clatsop,2045,11.82,13.21
Columbia,2045,12.47,13.99
Coos,2045,13.22,13.99
Crook,2045,13.28,13.99
Curry,2045,12.34,13.99
Deschutes,2045,11.75,12.71
Douglas,2045,12.89,13.99
Gilliam,2045,12.39,13.71
Grant,2045,13.7,13.99
Harney,2045,13.48,13.99
Hood River,2045,12.55,13.99
Jackson,2045,11.87,13.72
Jefferson,2045,13.03,13.99
Josephine,2045,12.82,13.99
Klamath,2045,12.88,13.99
Lake,2045,13.99,13.99
Lane,2045,12.1,13.66
Lincoln,2045,12.13,13.58
Linn,2045,12.71,13.99
Malheur,2045,12.72,13.99
Marion,2045,12.07,13.31
Morrow,2045,11.98,13.48
Multnomah,2045,10.29,11.54
Polk,2045,11.67,13.23
Sherman,2045,12.6,13.92
Tillamook,2045,12.26,13.99
Umatilla,2045,12.15,13.61
Union,2045,12.53,13.67
Wallowa,2045,12.57,13.99
Wasco,2045,12.78,13.99
Washington,2045,9.58,10.34
Wheeler,2045,12.87,13.99
Yamhill,2045,12.31,13.8
Baker,2050,13.02,13.99
Benton,2050,11.51,13.02
Clackamas,2050,10.66,11.76
Clatsop,2050,11.82,13.21
Columbia,2050,12.47,13.99
Coos,2050,13.22,13.99
Crook,2050,13.28,13.99
Curry,2050,12.34,13.99
Deschutes,2050,11.75,12.71
Douglas,2050,12.89,13.99
Gilliam,2050,12.39,13.71
Grant,2050,13.7,13.99
Harney,2050,13.48,13.99
Hood River,2050,12.55,13.99
Jackson,2050,11.87,13.72
Jefferson,2050,13.03,13.99
Josephine,2050,12.82,13.99
Klamath,2050,12.88,13.99
Lake,2050,13.99,13.99
Lane,2050,12.1,13.66
Lincoln,2050,12.13,13.58
Linn,2050,12.71,13.99
Malheur,2050,12.72,13.99
Marion,2050,12.07,13.31
Morrow,2050,11.98,13.48
Multnomah,2050,10.29,11.54
Polk,2050,11.67,13.23
Sherman,2050,12.6,13.92
Tillamook,2050,12.26,13.99
Umatilla,2050,12.15,13.61
Union,2050,12.53,13.67
Wallowa,2050,12.57,13.99
Wasco,2050,12.78,13.99
Washington,2050,9.58,10.34
Wheeler,2050,12.87,13.99
Yamhill,2050,12.31,13.8
