Geo,Year, MetroLandArea , TownLandArea , RuralAveDensity 
Douglas,2035,0,42.07438927,0.2828125
Gilliam,2035,0,4.302010852,0.003125
Grant,2035,0,12.51181396,0.01875
Harney,2035,0,6.694054824,0.2640625
Hood River,2035,0,5.634823937,0.2765625
Jackson,2035,46.68732473,3.493573015,0.409375
Jefferson,2035,0,6.423993818,0.3140625
Josephine,2035,16.67410298,2.658640314,0.23125
Klamath,2035,0,39.21221908,0.0875
Lake,2035,0,6.127185494,0.1
Lane,2035,72.1795341,26.07749106,0.25625
Lincoln,2035,0,26.06615159,0.1796875
Linn,2035,27.52411184,23.37408593,0.1609375
Malheur,2035,0,15.45429633,0.1234375
Marion,2035,59.73788704,23.09193754,0.309375
Morrow,2035,0,10.48005434,0.2015625
Multnomah,2035,151.1838198,0,0.221875
Polk,2035,7.989162824,14.08913342,0.2390625
Sherman,2035,0,2.88339698,0.0046875
Tillamook,2035,0,8.99001645,0.0640625
Umatilla,2035,0,50.24435487,0.1609375
Union,2035,0,12.81287705,0.3265625
Wallowa,2035,0,4.131427479,0.0609375
Wasco,2035,0,10.34242559,0.340625
Washington,2035,115.931219,1.75779405,0.50625
Wheeler,2035,0,1.651153906,0.0015625
Yamhill,2035,0,26.87911672,0.403125
Baker,2040,0,13.03910471,0.128125
Benton,2040,29.31421215,0.53510309,0.2625
Clackamas,2040,93.41143599,15.37830465,0.428125
Clatsop,2040,0,20.05028725,0.0953125
Columbia,2040,0,19.42098273,0.2265625
Coos,2040,0,23.74854408,0.221875
Crook,2040,0,13.5567125,0.0609375
Curry,2040,0,21.20200522,0.1234375
Deschutes,2040,33.55826436,27.23159435,0.26
Douglas,2040,0,42.30579841,0.2828125
Gilliam,2040,0,4.325671912,0.003125
Grant,2040,0,12.58062894,0.01875
Harney,2040,0,6.730872126,0.2640625
Hood River,2040,0,5.665815468,0.2765625
Jackson,2040,47.06082333,3.512787667,0.409375
Jefferson,2040,0,6.459325784,0.3140625
Josephine,2040,16.8074958,2.673262835,0.23125
Klamath,2040,0,39.42788629,0.0875
Lake,2040,0,6.160885015,0.1
Lane,2040,72.75697037,26.22091726,0.25625
Lincoln,2040,0,26.20951542,0.1796875
Linn,2040,27.74430473,23.5026434,0.1609375
Malheur,2040,0,15.53929496,0.1234375
Marion,2040,60.21579013,23.21894319,0.309375
Morrow,2040,0,10.53769464,0.2015625
Multnomah,2040,152.3932904,0,0.221875
Polk,2040,8.053076127,14.16662366,0.2390625
Sherman,2040,0,2.899255663,0.0046875
Tillamook,2040,0,9.039461541,0.0640625
Umatilla,2040,0,50.52069882,0.1609375
Union,2040,0,12.88334788,0.3265625
Wallowa,2040,0,4.15415033,0.0609375
Wasco,2040,0,10.39930893,0.340625
Washington,2040,116.8586688,1.767461917,0.50625
Wheeler,2040,0,1.660235253,0.0015625
Yamhill,2040,0,27.02695186,0.403125
Baker,2045,0,13.11081979,0.128125
Benton,2045,29.54872585,0.538046157,0.2625
Clackamas,2045,94.15872748,15.46288533,0.428125
Clatsop,2045,0,20.16056383,0.0953125
Columbia,2045,0,19.52779814,0.2265625
Coos,2045,0,23.87916107,0.221875
Crook,2045,0,13.63127442,0.0609375
Curry,2045,0,21.31861625,0.1234375
Deschutes,2045,33.82673047,27.38136812,0.26
Douglas,2045,0,42.5384803,0.2828125
Gilliam,2045,0,4.349463108,0.003125
Grant,2045,0,12.6498224,0.01875
Harney,2045,0,6.767891922,0.2640625
Hood River,2045,0,5.696977454,0.2765625
Jackson,2045,47.43730991,3.532107999,0.409375
Jefferson,2045,0,6.494852076,0.3140625
Josephine,2045,16.94195577,2.687965781,0.23125
Klamath,2045,0,39.64473966,0.0875
Lake,2045,0,6.194769882,0.1
Lane,2045,73.33902613,26.36513231,0.25625
Lincoln,2045,0,26.35366775,0.1796875
Linn,2045,27.96625917,23.63190794,0.1609375
Malheur,2045,0,15.62476109,0.1234375
Marion,2045,60.69751646,23.34664738,0.309375
Morrow,2045,0,10.59565196,0.2015625
Multnomah,2045,153.6124367,0,0.221875
Polk,2045,8.117500736,14.24454009,0.2390625
Sherman,2045,0,2.91520157,0.0046875
Tillamook,2045,0,9.089178579,0.0640625
Umatilla,2045,0,50.79856266,0.1609375
Union,2045,0,12.95420629,0.3265625
Wallowa,2045,0,4.176998157,0.0609375
Wasco,2045,0,10.45650513,0.340625
Washington,2045,117.7935381,1.777182957,0.50625
Wheeler,2045,0,1.669366547,0.0015625
Yamhill,2045,0,27.17560009,0.403125
Baker,2050,0,13.1829293,0.128125
Benton,2050,29.78511565,0.541005411,0.2625
Clackamas,2050,94.9119973,15.5479312,0.428125
Clatsop,2050,0,20.27144693,0.0953125
Columbia,2050,0,19.63520103,0.2265625
Coos,2050,0,24.01049646,0.221875
Crook,2050,0,13.70624643,0.0609375
Curry,2050,0,21.43586864,0.1234375
Deschutes,2050,34.09734432,27.53196565,0.26
Douglas,2050,0,42.77244194,0.2828125
Gilliam,2050,0,4.373385155,0.003125
Grant,2050,0,12.71939642,0.01875
Harney,2050,0,6.805115328,0.2640625
Hood River,2050,0,5.72831083,0.2765625
Jackson,2050,47.81680839,3.551534593,0.409375
Jefferson,2050,0,6.530573762,0.3140625
Josephine,2050,17.07749141,2.702749593,0.23125
Klamath,2050,0,39.86278573,0.0875
Lake,2050,0,6.228841117,0.1
Lane,2050,73.92573834,26.51014053,0.25625
Lincoln,2050,0,26.49861293,0.1796875
Linn,2050,28.18998924,23.76188343,0.1609375
Malheur,2050,0,15.71069727,0.1234375
Marion,2050,61.18309659,23.47505394,0.309375
Morrow,2050,0,10.65392805,0.2015625
Multnomah,2050,154.8413362,0,0.221875
Polk,2050,8.182440742,14.32288506,0.2390625
Sherman,2050,0,2.931235178,0.0046875
Tillamook,2050,0,9.139169061,0.0640625
Umatilla,2050,0,51.07795476,0.1609375
Union,2050,0,13.02545443,0.3265625
Wallowa,2050,0,4.199971647,0.0609375
Wasco,2050,0,10.51401591,0.340625
Washington,2050,118.7358864,1.786957464,0.50625
Wheeler,2050,0,1.678548063,0.0015625
Yamhill,2050,0,27.32506589,0.403125
