Geo,Year,PropSovDvmtDiverted
Grant,2035,0.1145
Harney,2035,0.1145
Hood River,2035,0.1145
Jackson,2035,0.115333333
Jefferson,2035,0.1145
Josephine,2035,0.1004
Klamath,2035,0.1145
Lake,2035,0.1145
Lane,2035,0.244
Lincoln,2035,0.1145
Linn,2035,0.128
Malheur,2035,0.1145
Marion,2035,0.12
Morrow,2035,0.1145
Multnomah,2035,0.266
Polk,2035,0.1145
Sherman,2035,0.1145
Tillamook,2035,0.1145
Umatilla,2035,0.1145
Union,2035,0.1145
Wallowa,2035,0.1145
Wasco,2035,0.1145
Washington,2035,0.2208
Wheeler,2035,0.1145
Yamhill,2035,0.1145
Baker,2040,0.139
Benton,2040,0.1884
Clackamas,2040,0.218
Clatsop,2040,0.139
Columbia,2040,0.139
Coos,2040,0.139
Crook,2040,0.139
Curry,2040,0.139
Deschutes,2040,0.1675
Douglas,2040,0.139
Gilliam,2040,0.139
Grant,2040,0.139
Harney,2040,0.139
Hood River,2040,0.139
Jackson,2040,0.14
Jefferson,2040,0.139
Josephine,2040,0.1244
Klamath,2040,0.139
Lake,2040,0.139
Lane,2040,0.268
Lincoln,2040,0.139
Linn,2040,0.146
Malheur,2040,0.139
Marion,2040,0.146666667
Morrow,2040,0.139
Multnomah,2040,0.2904
Polk,2040,0.139
Sherman,2040,0.139
Tillamook,2040,0.139
Umatilla,2040,0.139
Union,2040,0.139
Wallowa,2040,0.139
Wasco,2040,0.139
Washington,2040,0.2444
Wheeler,2040,0.139
Yamhill,2040,0.139
Baker,2045,0.1695
Benton,2045,0.2148
Clackamas,2045,0.2468
Clatsop,2045,0.1695
Columbia,2045,0.1695
Coos,2045,0.1695
Crook,2045,0.1695
Curry,2045,0.1695
Deschutes,2045,0.1926
Douglas,2045,0.1695
Gilliam,2045,0.1695
Grant,2045,0.1695
Harney,2045,0.1695
Hood River,2045,0.1695
Jackson,2045,0.172
Jefferson,2045,0.1695
Josephine,2045,0.1544
Klamath,2045,0.1695
Lake,2045,0.1695
Lane,2045,0.292
Lincoln,2045,0.1695
Linn,2045,0.17
Malheur,2045,0.1695
Marion,2045,0.179333333
Morrow,2045,0.1695
Multnomah,2045,0.3396
Polk,2045,0.1695
Sherman,2045,0.1695
Tillamook,2045,0.1695
Umatilla,2045,0.1695
Union,2045,0.1695
Wallowa,2045,0.1695
Wasco,2045,0.1695
Washington,2045,0.2776
Wheeler,2045,0.1695
Yamhill,2045,0.1695
Baker,2050,0.2
Benton,2050,0.2352
Clackamas,2050,0.2688
Clatsop,2050,0.2
Columbia,2050,0.2
Coos,2050,0.2
Crook,2050,0.2
Curry,2050,0.2
Deschutes,2050,0.2117
Douglas,2050,0.2
Gilliam,2050,0.2
Grant,2050,0.2
Harney,2050,0.2
Hood River,2050,0.2
Jackson,2050,0.204
Jefferson,2050,0.2
Josephine,2050,0.1844
Klamath,2050,0.2
Lake,2050,0.2
Lane,2050,0.316
Lincoln,2050,0.2
Linn,2050,0.188
Malheur,2050,0.2
Marion,2050,0.212
Morrow,2050,0.2
Multnomah,2050,0.3728
Polk,2050,0.2
Sherman,2050,0.2
Tillamook,2050,0.2
Umatilla,2050,0.2
Union,2050,0.2
Wallowa,2050,0.2
Wasco,2050,0.2
Washington,2050,0.3028
Wheeler,2050,0.2
Yamhill,2050,0.2
